state.x;czname;num_grants;cohort;age;male;female;expenditure_school;expenditures;test_score;income_pc;income_growth;universities_pc;graduation_rate;teacher_student_ratio;migration_inflow;migration_born;social_capital;china_imports;racial_segregation;gini;tax_rate;violence;children_onlyparent;divorce_share;manufacture_employment
Mississippi;Hattiesburg;0,00020639;1953,211325;50,65722952;;;4,2610384;2011,35;-7,940587;28079,07;0,0021562;0,0190863;0,1088919;16,788644;0,020606816;0,0133233;-0,70687008;1,094057;0,2198237;0,50936;0,0147939;0,0015905;0,2687656;0,0985023;0,1323725
Mississippi;Jackson;0,000132818;1952,801199;50,995005;0,00026953;1,20654E-05;4,6183054;1604,134;-15,25659;33322,4;-0,0047349;0,0164666;-0,0196014;19,186738;0,014536373;0,0140788;-0,53825894;0,6436496;0,2884704;0,60495;0,0163019;0,0016503;0,3029724;0,1036639;0,1123032
Mississippi;Kosciusko;4,2401E-05;1961,810617;42,21090387;;;4,3364673;1747,686;-13,49223;24121,31;-0,0146896;0,0484614;-0,0224092;19,802832;0,012745336;0,004858;-0,8561524;5,352758;0,135331;0,53917;0,0162608;0,0017688;0,3942646;0,0827307;0,2306643
Mississippi;Laurel;8,74949E-05;1954,244491;49,62119622;;;4,4288043;1817,337;-9,186356;26973,97;0,0013358;0,0165968;-0,0877639;17,850129;0,011924816;0,0130489;-0,56001584;2,19891;0,1379339;0,51114;0,0126145;0,0019252;0,2580558;0,0984317;0,2481669
Mississippi;McComb;2,77945E-05;1955,017241;48,92349138;;;4,3975878;1568,728;-16,04144;25123,34;-0,0020153;0,0096523;-0,0613137;17,767056;0,012239146;0,006669;-0,6237429;0,7581934;0,0830179;0,50457;0,0124915;0,0017374;0,3082144;0,0944205;0,183986
Mississippi;Meridian;0,000113746;1953,169697;50,67979798;;;4,3551982;1496,201;-9,970812;29016,2;-0,0105791;0,0190972;-0,0669675;17,410812;0,010611684;0,0064011;-0,38628795;10,03082;0,2159236;0,4769;0,0137252;0,0011458;0,3065367;0,1012599;0,1982062
Mississippi;Natchez;6,73774E-05;1956,550575;47,26206897;;;4,6449846;1536,294;-19,3323;27487,76;-0,0134222;0,0287138;0,2608723;18,569318;0,00727894;0,0118933;-0,37255382;0,4375473;0,1936227;0,55357;0,013751;0,0035749;0,3500577;0,1062822;0,1109054
Mississippi;New Albany;0,000100959;1958,451733;45,47772277;;;4,1114087;2149,374;-1,195666;27596,21;-0,0127682;0,0184454;0,1449233;18,379613;0,020787988;0,0170813;0,04714911;4,225587;0,0877871;0,38927;0,0095283;0,0018814;0,1958178;0,0921451;0,3805635
Mississippi;Starkville;0,000620528;1954,783351;49,18783351;;;4,8017102;1979,18;-14,34507;26131,43;-0,0075316;0,0285461;0,2856793;17,565459;0,011380396;0,0174867;-0,42722813;4,571128;0,0770376;0,48628;0,0120314;0,0013892;0,3181892;0,0787482;0,2321341
Mississippi;Tupelo;0,00016854;1952,96988;50,85040161;;;4,3524476;1983,721;-8,119659;30736,36;-0,0101085;0,0101126;-0,1292953;17,939042;0,010881107;0,0106262;-0,69414314;4,838094;0,1234066;0,45702;0,012618;0,0012936;0,2462136;0,1079292;0,3638909
Mississippi;Vicksburg;0,000337533;1957,364817;46,55726092;;;4,4916357;1873,777;-18,28028;27080,14;-0,0029385;0,0235452;0,0372235;18,326548;0,007852325;0,0089936;-0,66236659;2,194019;0,2386226;0,54677;0,0182667;0,0038967;0,3711506;0,0906464;0,1485859
Mississippi;Yazoo City;1,35643E-05;1963,259781;40,885759;;;4,6642355;1808,874;-23,0493;22600,17;-0,0221823;;;20,139729;0,011078643;0,0308077;-0,35076334;0,4070439;0,1382499;0,60473;0,0160366;0,0017787;0,4012987;0,0789261;0,1986592
Missouri;Aurora;0,000305285;1952,801199;50,995005;;;5,3980229;1288,112;-0,799714;31417,22;-0,0020794;0,0072688;0,2629411;15,288029;0,020934036;0,0231216;-0,16084965;5,417978;0,0532538;0,38441;0,0141932;0,001083;0,1763785;0,1086107;0,1735487
Missouri;Bethany;0,000162579;1962,630435;41,14130435;;;5,2386297;1696,176;1,058256;31180,55;-0,006075;;;12,756202;0,008566849;0,0075357;2,3555299;0,7938779;0,0118644;0,29491;0,0156767;0,0005527;0,1613045;0,0878644;0,1041032
Missouri;Brookfield;6,2745E-05;1958,092199;44,70212766;;;5,3649457;1326,287;-0,060068;31878,52;0,001052;;;13,326102;0,009733237;0,0059769;1,2011221;0,8530242;0,0758701;0,30866;0,0144975;0,0009012;0,173716;0,0958111;0,2148917
Missouri;Cape Girardeau;8,93105E-05;1952,801199;50,995005;;;4,671292;1658,179;-3,50063;30141,27;-0,0015306;0,0163012;0,1595985;15,957047;0,008596144;0,0079264;0,34357611;3,372528;0,2033931;0,45343;0,0160455;0,0014345;0,2253311;0,1006008;0,179203
Missouri;Center;0,000155142;1955,107143;48,81493506;;;4,5340956;1667,762;0,341271;28968,07;-0,0045564;0,0182979;0,2465183;15,50929;0,015589834;0,0108401;0,41492685;2,036353;0,0143969;0,3422;0,0122081;0,000677;0,1756593;0,1085578;0,2160359
Missouri;Columbia;0,000395452;1952,801199;50,995005;;6,06237E-05;5,3460929;1592,536;1,565936;32704,71;-0,0020597;0,0330701;0,1787985;15,254525;0,019266638;0,0286411;1,1067045;2,119492;0,1312307;0,38996;0,0194647;0,0011608;0,2094303;0,1024786;0,0915573
Missouri;Eldon;0,00022516;1953,52094;50,36567926;;;4,6961585;1061,582;3,581556;34165,2;-0,0027329;;;15,735681;0,022734097;0,0107837;-0,92852358;1,890709;0,0208236;0,40123;0,0167;0,0021673;0,1806957;0,1060073;0,1243625
Missouri;Farmington;0,000137158;1953,037223;50,79778672;;;4,8626184;1358,45;0,3269119;27773,02;-0,0012482;0,0072751;-0,0393211;16,399398;0,017161855;0,0079286;-0,1262191;5,627646;0,1041866;0,3843;0,0122154;0,0007421;0,1901286;0,1047821;0,204406
Missouri;Joplin;0,00032932;1952,801199;50,995005;;2,19257E-05;4,9653304;1445,414;1,805769;30455,86;-0,0079962;0,0299915;0,0084663;16,833726;0,01391232;0,0202983;0,23247559;2,265261;0,1011199;0,4278;0,0163471;0,0010235;0,201986;0,1112046;0,2124965
Missouri;Kansas City;0,000635712;1952,801199;50,995005;0,001213128;9,54804E-05;6,4495765;2569,134;-0,7871639;42530,85;-0,0060091;0,0141814;-0,1023022;16,241924;0,016705117;0,0454597;0,18528491;0,5084657;0,3055163;0,43749;0,0262226;0,0015645;0,2205418;0,1127755;0,1134826
Missouri;Kirksville;0,000117416;1959,654054;44,32837838;;;5,0517305;1336,648;5,69449;26767,43;-0,0087533;0,0259801;0,3457642;14,696705;0,007326388;0,014046;0,83623702;3,353858;0,0473833;0,4332;0,0155715;0,0006755;0,1679142;0,0779925;0,1171047
Missouri;Marshall;0,000307873;1955,914607;47,95393258;;;5,3951293;1562,839;-2,981209;31245,38;-0,0075289;0,0205766;-0,0261428;14,937485;0,014959156;0,0188918;0,85699146;1,541011;0,0925609;0,35183;0,0144214;0,0017696;0,1883162;0,1011133;0,170752
Missouri;Mexico;8,36608E-05;1958,482803;45,53757962;;;5,5358636;1300,824;-3,478294;30615,4;-0,0060587;;;15,317154;0,020479613;0,0084495;0,88199441;7,134451;0,1026844;0,34935;0,0143492;0,0010003;0,1971706;0,1090667;0,2281548
Missouri;Moberly;0,000219865;1955,178261;48,73913043;;;5,1584991;2002,044;-2,659336;29087,81;-0,0085463;0,0353763;-0,0623402;13,81706;0,012187141;0,0083945;0,69418608;1,467665;0,0871398;0,36905;0,0173184;0,0013974;0,1889949;0,10994;0,199122
Missouri;Polk;0,000129141;1961,475436;42,31378764;;;5,778697158;1337,761025;3,860741384;27758,79656;-0,003485449;;;12,27605335;0,01001468;0,010386886;0,920824673;1,054151822;0,04656448;0,312478574;0,019210044;0,001597643;0,145881913;0,077339677;0,169507842
